f_property_type,f_neighbourhood_cleansed,f_host_response_time,p_host_response_rate,p_host_acceptance_rate,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincefirst,n_days_sincelast,d_baking_sheet,d_bathtub,d_bed_linens,d_bidet,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_mosquito_net,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_toaster,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_have_o_machineee_machinecoffee,d_have_gril,d_have_freeon_premises,d_have_freestreet,d_have_paidon_premisvalet,d_have_paidoff_premisesselfparkingparking,d_have_wifiinternet,d_have_cable,d_have_tv,d_have_sound_system,d_have_toiletriesshampooconditionerbody_soapgel,d_have_washerdryer,d_have_iron,d_have_heating,d_have_air_condfan,d_have_balconyterrace,d_have_garden,d_have_breakfast,d_have_workoffice,d_have_fitnessgym,d_have_childrenbabycribhighcornerchang,d_have_fireplace,d_have_clothing_storage,d_f_property_type,d_host_is_superhost,d_host_identity_verified,price,id,neighbourhood_cleansed,property_type
condo,TICINESE,NA,NA,NA,4,1,1,1,4.82,17,0.16,6,0,3115,817,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,condo,0,1,85,312428,TICINESE,condo
loft,PARCO FORLANINI - ORTICA,within a few hours,100,81,5,2.5,2,NA,5,3,0.03,1,349,3165,1829,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,loft,0,1,69,375429,PARCO FORLANINI - ORTICA,loft
loft,BOVISA,within a day,100,NA,6,2,2,4,5,6,0.05,3,0,3522,2803,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,loft,0,1,500,379677,BOVISA,loft
loft,TICINESE,within a day,80,22,2,1,1,1,4.55,11,0.09,5,185,3521,684,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,loft,0,1,130,383918,TICINESE,loft
loft,LORETO,within an hour,100,100,4,1,1,2,4.75,8,0.07,3,188,3523,23,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,loft,0,1,72,419218,LORETO,loft
condo,S. CRISTOFORO,within a few hours,100,71,4,1.5,1,1,4.67,9,0.08,3,45,3460,13,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,condo,0,0,85,447222,S. CRISTOFORO,condo
condo,BUENOS AIRES - VENEZIA,within an hour,100,100,4,1,1,2,4.91,64,0.55,2,0,3470,272,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,1,1,70,461208,BUENOS AIRES - VENEZIA,condo
condo,PORTA ROMANA,within an hour,100,98,4,1,1,2,4.3,107,0.95,2,340,3379,16,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,condo,0,1,66,496612,PORTA ROMANA,condo
loft,MAGENTA - S. VITTORE,NA,NA,75,4,1,1,NA,4.48,139,1.22,1,72,3429,235,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,loft,0,1,88,519218,MAGENTA - S. VITTORE,loft
loft,S. CRISTOFORO,NA,NA,NA,3,1,1,NA,4.29,8,0.07,3,92,3369,860,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,loft,0,1,100,538175,S. CRISTOFORO,loft
loft,GRECO,within a few hours,100,100,4,2,2,2,4.9,30,0.27,5,0,3339,976,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,loft,0,1,120,547588,GRECO,loft
loft,S. CRISTOFORO,within a few hours,97,66,4,1,1,2,4.84,67,0.63,3,169,3167,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,loft,0,1,87,579191,S. CRISTOFORO,loft
loft,S. CRISTOFORO,within a few hours,100,42,6,2,2,2,4.71,25,0.23,2,339,3260,783,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,loft,1,1,264,581227,S. CRISTOFORO,loft
loft,FARINI,within an hour,100,100,3,1,1,1,4.59,99,0.88,4,42,3393,471,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,loft,0,1,89,627433,FARINI,loft
loft,PORTA ROMANA,NA,NA,NA,2,1,1,1,NA,0,NA,2,0,NA,NA,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,loft,0,0,350,629268,PORTA ROMANA,loft
condo,ISOLA,NA,NA,NA,3,1,1,1,4.53,17,0.16,4,197,3168,1059,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,condo,0,1,300,691738,ISOLA,condo
