f_property_type,f_neighbourhood_cleansed,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincelast,d_baking_sheet,d_bathtub,d_bed_linens,d_bidet,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_mosquito_net,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_toaster,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_coffee_machine,d_have_gril,d_free_parking_on_premises,d_free_parking_on_street,d_paid_parking_on_premises,d_paid_parking_off_premises,d_wifi,d_have_cable,d_have_tv,d_have_sound_system,d_shampoo_toiletries,d_have_washerdryer,d_have_iron,d_have_heating,d_have_air_condfan,d_balcony,d_have_garden,d_have_breakfast,d_have_workoffice,d_have_fitnessgym,d_family_friendly,d_have_fireplace,d_have_clothing_storage,d_f_property_type,d_host_is_superhost,d_host_identity_verified,price,id,property_type,flag_f_neighbourhood_cleansed,flag_days_sincelast,flag_review_scores_rating,flag_reviews_per_month,f_bathrooms,ln_bed,f_beds,f_bedrooms,f_review_scores_rating,f_number_of_reviews,f_minimum_nights
condo,CITTA' STUDI,4,1,1,3,5,6,0.13,2,162,16,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,condo,0,1,90,23939480,condo,0,0,0,0,1,1.0986122886681098,3,2,3,2,1
condo,BUENOS AIRES - VENEZIA,2,1,1,1,5,1,0.02,4,365,1332,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,0,1,219,23988088,condo,0,0,0,0,1,0,1,2,3,2,2
loft,GARIBALDI REPUBBLICA,3,1,1,3,4.66,168,3.72,1,1,31,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,loft,0,1,35,24006393,loft,0,0,0,0,1,1.0986122886681098,3,2,3,3,1
condo,VILLAPIZZONE,2,1,1,1,4.93,14,0.31,2,68,406,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,condo,0,1,76,24006922,condo,0,0,0,0,1,0,1,2,3,2,1
condo,TICINESE,2,2,1,1,5,25,0.56,3,118,30,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,condo,1,1,112,24047827,condo,0,0,0,0,2,0,1,2,3,2,1
condo,CENTRALE,3,2,2,2,5,3,0.09,2,0,977,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,condo,0,1,120,24068642,condo,0,0,0,0,2,0.6931471805599453,2,2,3,2,1
condo,DE ANGELI - MONTE ROSA,2,1,1,1,5,1,0.03,1,295,1079,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,condo,0,1,95,24070270,condo,0,0,0,0,1,0,1,2,3,2,1
condo,VIALE MONZA,4,1,2,4,4.9,52,1.17,2,258,25,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,condo,1,1,50,24078025,condo,0,0,0,0,1,1.3862943611198906,3,2,3,2,1
loft,ISOLA,4,2,2,2,5,2,0.06,1,178,973,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,loft,0,1,290,24091847,loft,0,0,0,0,2,0.6931471805599453,2,2,3,2,1
loft,BUENOS AIRES - VENEZIA,4,1,1,2,5,3,0.08,1,0,984,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,loft,0,1,85,24108390,loft,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,BUENOS AIRES - VENEZIA,3,1,1,2,4.82,0,0.71,2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,condo,0,1,90,24127161,condo,0,1,1,1,1,0.6931471805599453,2,2,3,1,1
condo,SARPI,4,1,2,3,5,1,0.02,2,358,1332,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,condo,0,1,200,24133601,condo,0,0,0,0,1,1.0986122886681098,3,2,3,2,1
condo,TICINESE,2,1,1,1,4.63,8,0.21,23,0,912,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,condo,0,1,50,24143306,condo,0,0,0,0,1,0,1,2,3,2,3
loft,PADOVA,3,1,1,1,4.82,0,0.71,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,loft,0,1,200,24157334,loft,0,1,1,1,1,0,1,2,3,1,1
loft,VIALE MONZA,3,1,2,2,5,1,0.02,1,0,1335,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,loft,0,1,150,24168857,loft,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,TICINESE,4,1,1,1,4.92,61,1.37,2,203,101,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,1,1,69,24170610,condo,0,0,0,0,1,0,1,2,3,2,1
loft,RIPAMONTI,3,2,2,2,5,1,0.02,2,133,1336,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,loft,0,1,250,24180351,loft,0,0,0,0,2,0.6931471805599453,2,2,3,2,1
condo,VILLAPIZZONE,4,1,1,2,5,2,0.05,2,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,condo,0,1,70,24181051,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
loft,TICINESE,4,1,2,2,4.92,13,0.29,1,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,loft,0,0,100,24199691,loft,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,LORETO,3,1,1,2,4.17,64,1.43,1,5,446,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,0,1,114,24213845,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
loft,BOVISA,3,1,1,2,5,1,0.02,1,0,1334,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,loft,0,0,150,24238611,loft,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,CORSICA,4,1,1,1,4.8,35,0.78,2,315,131,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,condo,0,0,46,24256790,condo,0,0,0,0,1,0,1,2,3,2,1
condo,LORETO,2,1,1,2,5,3,0.1,2,80,815,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,condo,0,0,65,24259037,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,PORTA ROMANA,4,1,1,3,4.64,11,0.25,2,318,49,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,condo,0,0,90,24272678,condo,0,0,0,0,1,1.0986122886681098,3,2,3,2,1
condo,SELINUNTE,2,1,1,1,5,6,0.13,3,0,976,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,condo,0,1,76,24274132,condo,0,0,0,0,1,0,1,2,3,2,1
loft,"NAVIGLI",4,1,1,3,4.8,92,2.07,1,294,50,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,loft,1,1,113,24284420,loft,0,0,0,0,1,1.0986122886681098,3,2,3,2,1
loft,CORSICA,4,1,1,1,4.71,62,1.39,1,136,46,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,loft,0,1,80,24290553,loft,0,0,0,0,1,0,1,2,3,2,1
condo,STADERA,4,1,1,2,4.82,0,0.71,1,89,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,condo,0,0,280,24291389,condo,0,1,1,1,1,0.6931471805599453,2,2,3,1,1
condo,Missing Value,2,1,1,2,4.82,0,0.71,30,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,condo,0,0,59,24293490,condo,1,1,1,1,1,0.6931471805599453,2,2,3,1,3
loft,FARINI,3,1,1,2,4.82,0,0.71,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,loft,0,1,80,24301182,loft,0,1,1,1,1,0.6931471805599453,2,2,3,1,2
condo,UMBRIA - MOLISE,2,1,1,2,4,1,0.02,2,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,condo,0,0,88,24305592,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,ISOLA,4,1,2,1,4.82,0,0.71,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,condo,0,0,100,24331496,condo,0,1,1,1,1,0,1,2,3,1,1
condo,DUOMO,3,1,1,2,4.59,17,0.38,1,70,923,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,condo,0,1,110,24332788,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,LODI - CORVETTO,4,1,1,2,5,2,0.05,2,0,978,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,condo,0,1,80,24333093,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,RIPAMONTI,4,1,1,2,4.82,30,0.68,2,0,794,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,condo,0,1,80,24338835,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
loft,BUENOS AIRES - VENEZIA,2,1,0,1,4.82,0,0.71,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loft,0,0,200,24345554,loft,0,1,1,1,1,0,1,1,3,1,1
condo,S. CRISTOFORO,2,1,0,1,4.8,5,0.15,10,80,76,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,condo,1,1,59,24350123,condo,0,0,0,0,1,0,1,1,3,2,3
loft,"NAVIGLI",2,1,1,1,4.93,15,0.34,2,0,975,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,loft,0,1,65,24362969,loft,0,0,0,0,1,0,1,2,3,2,1
condo,GUASTALLA,4,1,1,2,4.65,17,0.41,3,304,46,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,condo,0,0,78,24364882,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,BUENOS AIRES - VENEZIA,3,1,1,1,4.82,0,0.71,1,0,59,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,condo,0,0,250,24370721,condo,0,1,1,1,1,0,1,2,3,1,1
condo,MAGENTA - S. VITTORE,4,1,1,3,4.89,56,1.31,1,0,100,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,condo,1,1,70,24373196,condo,0,0,0,0,1,1.0986122886681098,3,2,3,2,1
condo,MAGGIORE - MUSOCCO,2,1,1,1,5,3,0.07,5,0,53,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,condo,0,0,57,24385901,condo,0,0,0,0,1,0,1,2,3,2,2
loft,SCALO ROMANA,2,2,1,1,5,2,0.13,7,347,457,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,loft,1,1,75,24400362,loft,0,0,0,0,2,0,1,2,3,2,3
loft,"NAVIGLI",5,3.5,4,4,5,3,0.08,2,0,978,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,loft,0,0,240,24442599,loft,0,0,0,0,2,1.3862943611198906,3,3,3,2,1
condo,TORTONA,4,1,1,2,4.86,22,0.62,2,95,52,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,condo,0,1,95,24509649,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,BUENOS AIRES - VENEZIA,4,1,1,3,4.74,92,2.1,15,163,647,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,condo,0,1,60,24519057,condo,0,0,0,0,1,1.0986122886681098,3,2,3,2,3
condo,DUOMO,2,1,1,1,4.63,16,0.36,1,68,8,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,condo,0,1,94,24538591,condo,0,0,0,0,1,0,1,2,3,2,1
condo,AFFORI,2,1,1,1,4.82,0,0.71,2,0,59,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,condo,0,0,100,24573916,condo,0,1,1,1,1,0,1,2,3,1,1
condo,LORENTEGGIO,2,1,1,1,5,9,0.22,2,343,13,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,condo,0,1,105,24585906,condo,0,0,0,0,1,0,1,2,3,2,1
loft,XXII MARZO,2,1,1,1,4.92,111,3.16,2,289,3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,loft,1,1,59,24598072,loft,0,0,0,0,1,0,1,2,3,3,1
condo,PARCO LAMBRO - CIMIANO,3,1,1,2,5,29,0.66,2,46,4,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,condo,1,0,89,24652759,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
condo,LORETO,2,1,1,1,5,1,0.32,2,158,94,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,condo,0,1,87,24669336,condo,0,0,0,0,1,0,1,2,3,2,1
condo,BANDE NERE,2,1,1,1,4.64,69,1.59,2,97,62,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,condo,0,1,73,24705959,condo,0,0,0,0,1,0,1,2,3,2,1
loft,PADOVA,5,1,2,3,4.82,0,0.71,5,74,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,loft,0,1,91,24775603,loft,0,1,1,1,1,1.0986122886681098,3,2,3,1,2
loft,BRERA,6,2,2,3,4.55,84,1.94,2,42,12,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,loft,0,1,184,24788859,loft,0,0,0,0,2,1.0986122886681098,3,2,3,2,1
loft,PORTA ROMANA,5,1,2,3,4.81,188,4.29,1,316,16,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,loft,0,1,120,24798319,loft,0,0,0,0,1,1.0986122886681098,3,2,3,3,1
loft,SARPI,2,1,1,1,4.82,0,0.71,2,318,59,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,loft,0,0,55,24832260,loft,0,1,1,1,1,0,1,2,3,1,1
loft,BUENOS AIRES - VENEZIA,2,1,1,1,4.82,87,2.06,3,183,44,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,loft,1,1,68,24860393,loft,0,0,0,0,1,0,1,2,3,2,1
